heroId1,heroId2,winsAverage,synergy,matchCount
1,2,0.41575,-6.24375,8736
1,3,0.48,0.781,1451
1,4,0.4345,-0.55425,6180
1,5,0.4875,-1.19275,7054
1,6,0.46425,-0.7355,8517
1,7,0.44875,-3.09825,12471
1,8,0.489,1.599,8588
1,9,0.5177499999999999,-2.6115,1357
1,10,0.48775,1.3944999999999999,14743
1,11,0.463,-3.88825,7033
1,12,0.57075,4.9565,976
1,13,0.4655,-1.5354999999999999,8730
1,14,0.52175,2.02175,13311
1,15,0.5235000000000001,3.723,4154
1,16,0.51075,1.96725,3567
1,17,0.52875,4.249499999999999,5737
1,18,0.49975,-2.61225,957
1,19,0.4755,-1.508,7305
1,20,0.46825,0.9375,7085
1,21,0.56025,0.21324999999999994,2894
1,22,0.48524999999999996,0.83325,13842
1,23,0.49725,0.04499999999999993,1830
1,25,0.4915,2.64575,21918
1,26,0.47575,-1.284,17677
1,27,0.433,-2.46675,7427
1,28,0.438,-5.63025,2848
1,29,0.48924999999999996,2.74575,6139
1,30,0.48224999999999996,-0.90925,9219
1,31,0.45025000000000004,1.462,20745
1,32,0.4775,-1.1335,1777
1,33,0.3925,-5.68075,1801
1,34,0.50675,2.91725,2750
1,35,0.51025,0.08975000000000001,7888
1,36,0.50725,1.95875,5080
1,37,0.48524999999999996,0.32075000000000004,4134
1,38,0.4465,-3.74925,4153
1,39,0.52425,3.04225,10466
1,40,0.514,1.355,6120
1,41,0.572,4.29025,3022
1,42,0.50225,2.43025,4421
1,43,0.5295000000000001,4.18525,1520
1,44,0.43425,-5.124,15589
1,45,0.48524999999999996,1.2380000000000002,5060
1,46,0.498,-1.789,4722
1,47,0.478,0.12650000000000003,2634
1,48,0.5435,0.9672499999999999,1307
1,49,0.486,-0.522,7849
1,50,0.50825,0.821,3858
1,51,0.4745,2.25725,8697
1,52,0.48750000000000004,0.5914999999999999,2274
1,53,0.511,0.6247499999999999,3458
1,54,0.46475,2.09625,6697
1,55,0.5,1.2930000000000001,1027
1,56,0.46725,0.10075,1484
1,57,0.47725,0.6355,884
1,58,0.49624999999999997,-2.72225,807
1,59,0.39525,-7.536,4345
1,60,0.44925000000000004,-0.006250000000000061,6716
1,61,0.39775,-4.10125,2159
1,62,0.46,1.11075,5558
1,63,0.49275,0.34750000000000003,3068
1,64,0.46775,-2.839,7120
1,65,0.51625,-0.7195,1521
1,66,0.537,4.11125,316
1,67,0.48375,0.94975,13599
1,68,0.49975,1.54725,4528
1,69,0.527,2.504,5430
1,70,0.45875,-1.7225,7810
1,71,0.47725,-0.26025000000000004,5545
1,72,0.4995,0.47275000000000006,4697
1,73,0.47125,0.649,8122
1,74,0.4815,0.37925,11120
1,75,0.474,0.3055,6487
1,76,0.51075,3.58675,3957
1,77,0.4535,-0.63425,2970
1,78,0.48125,1.97075,923
1,79,0.4995,1.86775,4715
1,80,0.3665,-6.41125,1532
1,81,0.519,2.5524999999999998,1173
1,82,0.369,-7.04275,1578
