heroId1,heroId2,winsAverage,synergy,matchCount
1,2,0.418,-5.94925,32780
1,3,0.48475,0.37500000000000006,4370
1,4,0.42275,-1.4385,24473
1,5,0.48524999999999996,-1.33325,26188
1,6,0.46675,-0.7645,30977
1,7,0.45975,-2.87225,41356
1,8,0.495,2.63575,37020
1,9,0.53925,-0.22775,6308
1,10,0.50225,1.7970000000000002,36803
1,11,0.47424999999999995,-3.5835,25247
1,12,0.5782499999999999,5.54425,4608
1,13,0.4755,-1.8094999999999999,25023
1,14,0.5175000000000001,1.5859999999999999,40723
1,15,0.5175000000000001,3.315,14052
1,16,0.508,1.354,11248
1,17,0.5317500000000001,4.2935,19456
1,18,0.5315000000000001,-0.6487499999999999,3564
1,19,0.4895,-1.19725,21121
1,20,0.482,1.30375,23156
1,21,0.5587500000000001,-0.37650000000000006,11029
1,22,0.49324999999999997,1.2265000000000001,47403
1,23,0.49124999999999996,-0.8029999999999999,7028
1,25,0.48624999999999996,1.7337500000000001,68025
1,26,0.484,-1.201,64853
1,27,0.44175,-1.92025,28852
1,28,0.4585,-3.64875,10777
1,29,0.486,2.1865,20484
1,30,0.4785,-0.78925,38883
1,31,0.449,1.29875,64439
1,32,0.47475,-1.6524999999999999,7462
1,33,0.439,-2.68475,5924
1,34,0.527,3.8777500000000003,7869
1,35,0.50675,-0.33275,35395
1,36,0.492,1.46325,23488
1,37,0.48,0.626,17642
1,38,0.46725,-2.738,10802
1,39,0.5245,2.3912500000000003,34908
1,40,0.50425,0.5355,20354
1,41,0.5625,2.1702500000000002,12773
1,42,0.50075,3.0324999999999998,22683
1,43,0.52225,3.4375,5372
1,44,0.43674999999999997,-4.9087499999999995,58010
1,45,0.50225,1.89425,13190
1,46,0.50675,-1.95275,12980
1,47,0.479,-0.18575,10897
1,48,0.5395000000000001,-0.14200000000000002,5723
1,49,0.49275,-0.621,24522
1,50,0.505,0.04375000000000007,17284
1,51,0.4815,2.34275,23838
1,52,0.495,0.76775,6286
1,53,0.5345,1.31325,13328
1,54,0.4685,2.20075,25222
1,55,0.52275,2.8362499999999997,3079
1,56,0.48024999999999995,1.22725,5389
1,57,0.461,-2.362,2706
1,58,0.5085,-1.93425,3060
1,59,0.403,-7.8267500000000005,12063
1,60,0.44475,-0.5862499999999999,21167
1,61,0.409,-3.27225,6629
1,62,0.47725,1.3605,15795
1,63,0.50275,0.4935,10906
1,64,0.478,-1.7955,27978
1,65,0.53225,-0.6935,3771
1,66,0.528,1.1407500000000002,925
1,67,0.4925,1.13775,46449
1,68,0.50625,2.4675000000000002,16504
1,69,0.5315000000000001,1.78125,14622
1,70,0.4645,-2.048,24141
1,71,0.46775,-1.46725,22595
1,72,0.4985,-0.41325,14387
1,73,0.48075,0.495,21743
1,74,0.4955,0.50025,39783
1,75,0.47225,0.3815,25298
1,76,0.504,3.03025,14975
1,77,0.46525,-1.15425,9955
1,78,0.47375,0.3454999999999999,2376
1,79,0.5065,1.81,11642
1,80,0.375,-6.36475,4603
1,81,0.51675,2.3905,5236
1,82,0.376,-8.23275,4207
1,83,0.50375,0.04824999999999996,5259
1,84,0.49524999999999997,2.028,44578
1,85,0.48624999999999996,1.92325,16074
1,86,0.51875,0.10775000000000001,53936
1,87,0.4655,-1.7922500000000001,17323
1,88,0.45875,-2.11175,29306
1,89,0.53425,-0.66825,1042
1,90,0.508,1.9872500000000002,5268
1,91,0.443,-1.42,6550
1,92,0.43925000000000003,0.3125,5580
1,93,0.50275,-0.11225,24061
1,94,0.58,11.5315,22595
1,95,0.45825,-3.686,5111
1,96,0.483,-0.48850000000000005,13983
1,97,0.4735,-2.2515,38089
1,98,0.49475,-0.7255,20350
1,99,0.51475,2.049,19761
1,100,0.512,-0.17100000000000004,13514
1,101,0.50875,1.11075,18198
1,102,0.4515,2.73175,26539
1,103,0.41775,-2.96025,2809
1,104,0.44325000000000003,-1.375,41866
1,105,0.5367500000000001,0.17425000000000004,15472
1,106,0.49575,0.46575,12115
1,107,0.4835,0.775,10398
1,108,0.5145,2.98275,7848
1,109,0.474,-3.3194999999999997,8936
1,110,0.45975,-1.917,14868
1,111,0.4775,2.89075,13692
1,112,0.49624999999999997,2.6205,7207
1,113,0.46875,1.255,4578
