heroId1,heroId2,winsAverage,synergy,matchCount
1,2,0.50575,1.24675,39889
1,3,0.49975,0.99025,4351
1,4,0.52675,-0.6085,5538
1,5,0.46825,-0.43625,25049
1,6,0.51275,1.6427500000000002,2923
1,7,0.4855,0.29774999999999996,43493
1,8,0.51075,0.879,3024
1,9,0.417,-1.353,6486
1,10,0.44675,-3.98825,4409
1,11,0.44775,-1.3595000000000002,17643
1,12,0.429,-1.9877500000000001,440
1,13,0.45175,-2.5755,22010
1,14,0.475,0.538,45631
1,15,0.49275,0.6185,10136
1,16,0.489,1.2345,10250
1,17,0.462,-2.019,19381
1,18,0.4475,1.3499999999999999,1171
1,19,0.457,-1.2785,21125
1,20,0.49024999999999996,-1.13925,21560
1,21,0.41325,0.32925,10891
1,22,0.482,-0.78625,34706
1,23,0.4835,1.1565,7159
1,25,0.50825,0.65525,51208
1,26,0.478,0.286,61731
1,27,0.50725,-0.22449999999999998,30725
1,28,0.459,-1.714,10062
1,29,0.51675,1.0375,20625
1,30,0.4925,0.79375,40046
1,31,0.54725,1.3315,59423
1,32,0.479,-0.07749999999999999,4134
1,33,0.5055000000000001,0.08074999999999996,6504
1,34,0.489,0.62325,6267
1,35,0.46225,0.09,33972
1,36,0.4905,-0.29075,22548
1,37,0.5145,1.7537500000000001,17815
1,38,0.4625,-1.399,10765
1,39,0.46075,-0.99,33957
1,40,0.47125,-0.1065,21029
1,41,0.43475,0.35050000000000003,1672
1,42,0.51675,1.65375,12001
1,43,0.4875,0.43925,5078
1,44,0.46399999999999997,-2.1105,5147
1,45,0.4835,-0.40850000000000003,11177
1,46,0.4555,1.0025,6370
1,47,0.50525,1.5262499999999999,12003
1,48,0.41575,-1.5377500000000002,1096
1,49,0.4625,-0.9742500000000001,11678
1,50,0.4805,1.37425,17745
1,51,0.51575,0.34325000000000006,25010
1,52,0.46425,-1.94025,5080
1,53,0.4405,-0.979,12021
1,54,0.46475,-5.891249999999999,2948
1,55,0.4625,-1.423,2776
1,56,0.494,-0.861,4123
1,57,0.50475,1.84525,2729
1,58,0.44175,-0.21924999999999994,3829
1,59,0.483,-0.6585,10292
1,60,0.50075,-1.88775,23287
1,61,0.521,-0.73375,6289
1,62,0.502,-0.4855,17079
1,63,0.47725,0.388,6120
1,64,0.48624999999999996,1.10575,29652
1,65,0.40700000000000003,-2.5825,4052
1,66,0.4495,-0.5470000000000002,1080
1,67,0.4975,0.7775,4499
1,68,0.4895,0.02175000000000002,13994
1,69,0.458,0.018750000000000024,13053
1,70,0.50075,1.4805000000000001,3621
1,71,0.4785,-0.99525,26505
1,72,0.48524999999999996,1.66025,7481
1,73,0.491,-0.39425,7753
1,74,0.49475,1.42075,36085
1,75,0.50825,0.609,24190
1,76,0.49524999999999997,-0.17525,14814
1,77,0.48624999999999996,-0.772,9809
1,78,0.51775,1.7415,2355
1,79,0.48124999999999996,-0.13449999999999998,11858
1,80,0.5415,1.01475,4295
1,81,0.461,-1.724,4045
1,82,0.504,-0.80675,2592
1,83,0.486,1.7974999999999999,5689
1,84,0.4905,-0.5255000000000001,38883
1,85,0.50275,-0.08,17406
1,86,0.45375,-0.015750000000000014,50334
1,87,0.4745,-1.29725,18848
1,88,0.4795,-1.14575,29202
1,89,0.35675,-7.43675,397
1,90,0.48425,0.13875000000000004,4432
1,91,0.486,-2.717,4520
1,92,0.53325,-0.05749999999999997,5420
1,93,0.46525,-0.21850000000000003,4094
1,94,0.48924999999999996,-1.65875,3957
1,95,0.47175,-0.42674999999999996,517
1,96,0.48475,0.16549999999999998,14813
1,97,0.4645,-1.06325,38861
